 "uri" , "lod_identifier" ,
 "http://data.americanartcollaborative.org/puam/constituent/364" , "http://vocab.getty.edu/ulan/500105646" ,
 "http://data.americanartcollaborative.org/puam/constituent/1541" , "http://vocab.getty.edu/ulan/500004073" ,
 "http://data.americanartcollaborative.org/puam/constituent/4561" , "http://vocab.getty.edu/ulan/500059803" ,
 "http://data.americanartcollaborative.org/puam/constituent/1369" , "http://vocab.getty.edu/ulan/500127867" ,
 "http://data.americanartcollaborative.org/puam/constituent/89" , "http://vocab.getty.edu/ulan/500065743" ,
 "http://data.americanartcollaborative.org/puam/constituent/3740" , "http://vocab.getty.edu/ulan/500053930" ,
 "http://data.americanartcollaborative.org/puam/constituent/3900" , "http://vocab.getty.edu/ulan/500016415" ,
 "http://data.americanartcollaborative.org/puam/constituent/1551" , "http://vocab.getty.edu/ulan/http://vocab.getty.edu/ulan/500009936" ,
 "http://data.americanartcollaborative.org/puam/constituent/17" , "http://vocab.getty.edu/ulan/500026108" ,
 "http://data.americanartcollaborative.org/puam/constituent/1707" , "http://vocab.getty.edu/ulan/500030585" ,
 "http://data.americanartcollaborative.org/puam/constituent/5924" , "http://vocab.getty.edu/ulan/http://vocab.getty.edu/ulan/500030702" ,
 "http://data.americanartcollaborative.org/puam/constituent/5475" , "http://vocab.getty.edu/ulan/500008685" ,
 "http://data.americanartcollaborative.org/puam/constituent/1437" , "http://vocab.getty.edu/ulan/500005351" ,
 "http://data.americanartcollaborative.org/puam/constituent/4779" , "http://vocab.getty.edu/ulan/500014482" ,
 "http://data.americanartcollaborative.org/puam/constituent/4407" , "http://vocab.getty.edu/ulan/500011698" ,
 "http://data.americanartcollaborative.org/puam/constituent/5292" , "http://vocab.getty.edu/ulan/500031212" ,
 "http://data.americanartcollaborative.org/puam/constituent/6190" , "http://vocab.getty.edu/ulan/http://vocab.getty.edu/ulan/500337979" ,
 "http://data.americanartcollaborative.org/puam/constituent/3179" , "http://vocab.getty.edu/ulan/500002941" ,
 "http://data.americanartcollaborative.org/puam/constituent/4278" , "http://vocab.getty.edu/ulan/500019907" ,
 "http://data.americanartcollaborative.org/puam/constituent/4141" , "http://vocab.getty.edu/ulan/500037044" ,
